route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,current_edge_list,direction_angle_list,matched_rider_cnt,OrgPickup_cnt,reposition_recommend_cnt,reposition_recommend_and_accept_cnt,reposition_recommend_but_reject_cnt,matching_rate,unmatched_rider_cnt,total_revenue,total_revenue_added_by_reposition
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:00,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:05,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:10,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:15,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:20,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0,-74.0132124,40.7152226,2016-03-7 15:48:25,rider,wait,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0_meeting_point,-74.0132124,40.7152226,2016-03-07 15:48:00,point,display,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0_meeting_point,-74.0132124,40.7152226,2016-03-07 15:48:05,point,display,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0_meeting_point,-74.0132124,40.7152226,2016-03-07 15:48:10,point,display,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
7_63_1890_rider_0_meeting_point,-74.0132124,40.7152226,2016-03-07 15:48:15,point,display,driver_3,"[42429570, 42429570]",0.0,1,1,1,1,1,1,1,1,1
