route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:00,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:05,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:10,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:15,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:20,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:25,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:30,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:35,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:40,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:45,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:50,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:15:55,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:00,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:05,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:10,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:15,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:20,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:25,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:30,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:35,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:40,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:45,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:50,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:16:55,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:00,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:05,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:10,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:15,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:20,point,display
5_70_rider_0_meeting_point,-73.98728740000001,40.750457399999995,2016/3/5 17:17:25,point,display
