BoroName,the_geom,BoroCode,OBJECTID,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SHELTER_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,FEMAFldz,FEMAFldT,HrcEvac
Manhattan,POINT (-73.98989855511948 40.73699173819478),1,904,105,2,75,28,12,BS4001,E 17 ST @ BROADWAY,@ BROADWAY,-73.9899,40.736999999999995,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.99884855167167 40.745611736482196),1,906,104,3,75,27,10,BS4006,23 ST @ 8TH AVE,@ 8TH AVE,-73.99885,40.74562,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.99007855707802 40.71391174274747),1,907,103,1,65,26,7,BS4008,RUTGERS ST @ E. BROADWAY,@ E. BROADWAY,-73.99008,40.71392,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.99342855320607 40.7515117359344),1,908,105,3,75,31,10,BS4009,W 33 ST @ 8 AVENUE,@ 8 AVENUE,-73.99343,40.75152,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.9350515692529 40.79596072438585),1,1694,111,8,68,29,13,MN01210,E 116 ST,1 AV,-73.935053,40.795969,AE,,3.0
Manhattan,POINT (-74.01106255070312 40.702902745439886),1,1491,101,1,65,26,10,MN0003,WATER ST,BROAD ST,-74.011064,40.702911,AE,,1.0
Manhattan,POINT (-74.0070315519681 40.70529274544091),1,1492,101,1,65,26,10,MN0004,WATER ST,WALL ST,-74.00703299999999,40.705301,AE,,1.0
Manhattan,POINT (-74.00290455307365 40.70865274463458),1,1493,101,1,65,26,10,MN0007,PEARL ST,PECK SLIP ST,-74.00290600000001,40.708661,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00208255277335 40.70901674450636),1,1494,101,1,65,26,10,MN0008,PEARL ST,PECK SLIP ST,-74.002084,40.709025,X,AREA OF MINIMAL FLOOD HAZARD,1.0
Manhattan,POINT (-74.00217655269081 40.70922074453411),1,1495,101,1,65,26,10,MN0009,PEARL ST,FRANKFORT ST,-74.002178,40.709229,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00187655339288 40.70953874365953),1,1496,101,1,65,26,10,MN0010,FRANKFORT ST,PEARL ST,-74.001878,40.709547,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00076855373216 40.71046474366028),1,1497,103,1,65,26,7,MN0011,PEARL ST,ROBERT F WAGNER Pl,-74.00076999999999,40.710473,X,AREA OF MINIMAL FLOOD HAZARD,1.0
Manhattan,POINT (-73.99940455366452 40.7118807438534),1,1498,103,1,65,26,7,MN0013,MADISON ST,ST JAMES ST,-73.99940600000001,40.711889,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00617455185849 40.71180474419388),1,1499,101,1,66,26,10,MN0017,PARK ROW,SPRUCE ST,-74.006176,40.711813,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-74.00666855083175 40.71168774389792),1,1500,101,1,66,26,10,MN0018,PARK ROW,BEEKMAN ST,-74.00667,40.711696,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-74.00864955022311 40.71639674319641),1,1501,101,1,66,26,10,MN0019,W BROADWAY,DUANE ST,-74.008651,40.716405,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00571555030608 40.72687374039568),1,1502,102,3,66,27,10,MN0023,VARICK ST,CHARLTON ST,-74.005717,40.726882,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00255755203176 40.72863474022183),1,1503,102,3,66,26,10,MN0024,6 AV,W HOUSTON ST,-74.00255899999999,40.728643,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.99782855383643 40.726071740648564),1,1504,102,1,66,26,10,MN0025,HOUSTON ST BETWEEN MERCER ST & GREENE ST,BETWEEN MERCER ST & GREENE ST,-73.99783000000001,40.726079999999996,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.99964255235976 40.726970740430524),1,1505,102,1,66,26,10,MN0026,W HOUSTON ST,LA GUARDIA PL,-73.99964399999999,40.726979,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.99639755489092 40.715977742324014),1,1506,103,1,65,26,7,MN0027,BOWERY,CANAL ST,-73.996399,40.715986,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.98455455775576 40.71540274223431),1,1507,103,1,65,26,12,MN0031,GRAND ST,PITT ST,-73.98455600000001,40.715410999999996,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.98145455938962 40.7145077428256),1,1508,103,1,65,26,7,MN0032,GRAND ST,KAZAN ST,-73.98145600000001,40.714515999999996,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.97790556071033 40.71324174248212),1,1509,103,2,65,26,7,MN0034,GRAND ST,FDR DR,-73.977907,40.71325,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0
Manhattan,POINT (-73.97819156016361 40.71355474244045),1,1510,103,1,65,26,7,MN0035,GRAND ST,FDR DR,-73.978193,40.713563,X,AREA OF MINIMAL FLOOD HAZARD,2.0
Manhattan,POINT (-73.98503355755138 40.7238257408335),1,1511,103,2,65,27,12,MN0036,AV A,E 3 ST,-73.985035,40.723834000000004,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.98825655705518 40.72342074050723),1,1512,103,2,65,26,12,MN0037,1 AV,E 1 ST,-73.988258,40.723428999999996,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.98228055850072 40.731516738927816),1,1513,106,4,74,27,12,MN0040,1 AV,E 14 ST,-73.982282,40.731525,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.98113155793273 40.733096738516885),1,1514,106,4,74,27,12,MN0041,1 AV,E 17 ST,-73.981133,40.733105,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.97952855913448 40.73529573847102),1,1515,106,4,74,27,12,MN0042,1 AV,E 20 ST,-73.97953000000001,40.735304,X,AREA OF MINIMAL FLOOD HAZARD,3.0
Manhattan,POINT (-73.97864055904532 40.73460573860498),1,1516,106,4,74,27,12,MN0043,E 20 ST,1 AV,-73.97864200000001,40.734614,X,AREA OF MINIMAL FLOOD HAZARD,3.0
Manhattan,POINT (-73.97804255910656 40.73733773792716),1,1517,106,4,74,27,12,MN0044,1 AV,E 23 ST,-73.978044,40.737346,X,AREA OF MINIMAL FLOOD HAZARD,1.0
Manhattan,POINT (-73.97906255905052 40.73721773803755),1,1518,106,2,74,27,12,MN0045,E 23 ST,1 AV,-73.97906400000001,40.737226,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.976854558783 40.738954737534726),1,1519,106,4,74,27,12,MN0048,1 AV,E 26 ST,-73.97685600000001,40.738963,X,AREA OF MINIMAL FLOOD HAZARD,1.0
Manhattan,POINT (-73.97051356106542 40.74921073524859),1,1520,106,4,74,28,12,MN0052,E 42 ST,1 AV,-73.970515,40.749219000000004,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96933956111131 40.74920273480173),1,1521,106,4,74,28,12,MN0053,1 AV,E 42 ST,-73.969341,40.749210999999995,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.96838956080937 40.75058673498821),1,1522,106,4,74,28,12,MN0054,1 AV,E 45 ST,-73.968391,40.750595000000004,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.96618756216193 40.753593734058775),1,1523,106,4,73,28,12,MN0057,1 AV,MITCHELL PL,-73.966189,40.753602,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.96704556100414 40.75348873432574),1,1524,106,4,73,28,12,MN0058,E 49 ST,1 AV,-73.967047,40.753496999999996,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.95931556322715 40.76301573238008),1,1525,108,5,76,28,12,MN0059,1 AV,E 64 ST,-73.959317,40.763024,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.96350556182912 40.757274733413496),1,1526,106,5,73,28,12,MN0061,1 AV,E 55 ST,-73.96350699999999,40.757283,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96262156247433 40.75848473322398),1,1527,106,5,73,28,12,MN0062,1 AV,E 57 ST,-73.962623,40.758493,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95787956365248 40.76498773212581),1,1528,108,5,76,28,12,MN0067,1 AV,E 67 ST,-73.957881,40.764996000000004,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95568956449702 40.768005731163086),1,1529,108,5,76,28,12,MN0068,1 AV,E 72 ST,-73.955691,40.768014,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95626856376589 40.76801273137523),1,1530,108,5,76,28,12,MN0069,E 72 ST,1 AV,-73.95626999999999,40.768021000000005,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95214856482491 40.77284173007513),1,1531,108,5,76,28,12,MN0070,1 AV,E 79 St,-73.95215,40.77285,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95239556529303 40.77231772966962),1,1532,108,5,76,28,12,MN0071,E 79 ST,1 AV,-73.95239699999999,40.772326,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94763256642837 40.77902772882016),1,1533,108,5,76,28,12,MN0074,1 AV,E 89 ST,-73.947634,40.779036,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.94583956651108 40.78144372795112),1,1534,108,5,68,29,12,MN0075,1 AV,E 93 ST,-73.945841,40.781452,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2.0
Manhattan,POINT (-73.94702956671286 40.776253729152344),1,1535,108,5,76,28,12,MN0077,YORK AV,E 86 ST,-73.94703100000001,40.776262,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94926956641906 40.77319172980839),1,1536,108,5,76,28,12,MN0078,YORK AV,E 82 ST,-73.949271,40.7732,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95076356576445 40.771141730440846),1,1537,108,5,76,28,12,MN0079,YORK AV,E 79 ST,-73.950765,40.77115,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95066356557476 40.77158672989748),1,1538,108,5,76,28,12,MN0080,E 79 ST,YORK AV,-73.950665,40.771595,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.9483095660902 40.770592729981594),1,1539,108,5,76,28,12,MN0082,E 79 ST,EAST END AV,-73.948311,40.770601,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.95253756469751 40.76834873119535),1,1540,108,5,76,28,12,MN0083,YORK AVE,@ E 74TH ST,-73.952539,40.768357,X,AREA OF MINIMAL FLOOD HAZARD,2.0
Manhattan,POINT (-73.95403856437622 40.76665373163154),1,1541,108,5,76,28,12,MN0084,YORK AV,E 72 ST,-73.95404,40.766662,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95342456536812 40.76709173147678),1,1542,108,5,76,28,12,MN0085,YORK AV,E 72 ST,-73.95342600000001,40.7671,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.9540235650404 40.76685973121992),1,1543,108,5,76,28,12,MN0086,E 72 ST,YORK AV,-73.954025,40.766868,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95516256517298 40.76511173185749),1,1544,108,5,76,28,12,MN0089,YORK AV,E 69 ST,-73.955164,40.76512,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94628656654501 40.78489172764888),1,1545,111,8,68,29,13,MN0091,E 97 ST,2 AV,-73.946288,40.7849,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2.0
Manhattan,POINT (-73.94658756659429 40.78518072769591),1,1546,111,8,68,29,13,MN0092,2 AV,E 97 ST,-73.946589,40.785189,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4.0
Manhattan,POINT (-73.94741256648278 40.78449572733403),1,1547,111,5,68,29,12,MN0093,E 96 ST,2 AV,-73.947414,40.784504,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.9484045656121 40.7826627282903),1,1548,108,5,73,29,12,MN0097,2 AV,E 94 ST,-73.948406,40.782671,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.92995356742335 40.85468671294772),1,1549,112,10,72,31,13,MN01000,ST NICHOLAS AV,W 190 ST,-73.929955,40.854695,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94454556376279 40.83419371736261),1,1550,112,7,71,31,13,MN01001,BROADWAY,W 157 ST,-73.944547,40.834202000000005,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94615856636219 40.789298726880666),1,1551,111,8,68,29,13,MN01002,3 AV,E 102 ST,-73.94615999999999,40.789307,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0
Manhattan,POINT (-73.94433056596415 40.79181172584509),1,1552,111,8,68,29,13,MN01005,3 AV,E 106 ST,-73.94433199999999,40.79182,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0
Manhattan,POINT (-73.95217456266636 40.80337772419718),1,1553,110,9,70,30,13,MN01006,ADAM CLAYTON POWELL BLVD,W 116 ST,-73.952176,40.803385999999996,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.952076563737 40.80291472443346),1,1554,110,9,70,30,13,MN01007,W 116 ST,ADAM CLAYTON POWELL BLVD,-73.952078,40.802923,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.95566556173728 40.80418172427271),1,1555,110,9,70,30,13,MN01009,FREDERICK DOUGLASS BLVD,W 116 ST,-73.955667,40.804190000000006,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95392256471393 40.77509272978549),1,1556,108,5,76,28,12,MN0101,2 AV,E 82 ST,-73.953924,40.775101,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94293756471183 40.83703371719962),1,1557,112,7,71,31,13,MN01010,BROADWAY,W 162 ST,-73.942939,40.837042,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94673856564614 40.80047772393315),1,1558,110,9,70,30,13,MN01014,5 AV,W 116 ST,-73.94674,40.800486,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.94283256702569 40.79026972632187),1,1559,111,8,68,29,13,MN01016,2 AV,E 106 ST,-73.94283399999999,40.790278,AE,,3.0
Manhattan,POINT (-73.9403725671743 40.80595572301491),1,1560,111,9,68,30,13,MN01017,MADISON AV,E 125 ST,-73.940374,40.805964,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.95538056359915 40.77308273006579),1,1561,108,4,73,28,12,MN0102,2 AV,E 79 ST,-73.955382,40.773091,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.93901256512358 40.84343271557185),1,1562,112,10,71,31,13,MN01020,BROADWAY,W 171 ST,-73.939014,40.843441,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94500656686495 40.784334727490844),1,1563,111,8,68,29,13,MN01023,E 97 ST,1 AV,-73.945008,40.784343,AE,,2.0
Manhattan,POINT (-73.9931065548209 40.73567273831167),1,1564,102,2,66,28,12,MN01025,E 14 ST,5 AV,-73.99310799999999,40.735681,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.98749855587154 40.73351273907966),1,1565,106,2,74,27,12,MN01027,E 14 ST,3 AV,-73.9875,40.733521,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.98149855889022 40.72866173922704),1,1566,103,2,74,27,12,MN01029,AV A,E 11 ST,-73.9815,40.72867,X,AREA OF MINIMAL FLOOD HAZARD,3.0
Manhattan,POINT (-73.95529156445778 40.77353172958693),1,1567,108,5,73,28,12,MN0103,E 79 ST,2 AV,-73.95529300000001,40.773540000000004,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.93539156675669 40.8421447158849),1,1568,112,10,72,31,13,MN01031,AMSTERDAM AV,W 172 ST,-73.935393,40.842153,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.99817655158073 40.745471736857844),1,1569,104,3,75,27,12,MN01033,8 AV,W 23 ST,-73.998178,40.74548,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.98489055564015 40.76370873262893),1,1570,105,3,67,27,12,MN01034,8 AV,W 52 ST,-73.984892,40.763717,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.99053455538191 40.723343740646676),1,1571,103,1,65,26,7,MN01035,E HOUSTON ST,@ FORSYTH ST,-73.99053599999999,40.723352,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.93740556788744 40.812516721653594),1,1572,111,9,70,30,13,MN01037,E 135 ST,5 AV,-73.937407,40.812525,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.95573056144958 40.80443672364721),1,1573,110,9,70,30,13,MN01038,W 116 ST,FREDERICK DOUGLASS BLVD,-73.955732,40.804445,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96131456030288 40.80156272502516),1,1574,107,7,69,30,13,MN01039,COLUMBUS AV,W 110 ST,-73.961316,40.801571,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96406255983625 40.80247472491363),1,1575,107,7,69,30,13,MN01040,AMSTERDAM AV,W 109 ST,-73.96406400000001,40.802483,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.97015955750936 40.79384672667883),1,1576,107,6,69,30,10,MN01042,W 96TH ST,@ AMSTERDAM AVE,-73.970161,40.793855,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94386556359359 40.835765716977676),1,1577,112,7,71,31,13,MN01043,BROADWAY,W 160 ST,-73.943867,40.835774,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95555756103889 40.820417721041316),1,1578,109,7,70,31,13,MN01047,W 135 ST,BROADWAY,-73.955559,40.820426,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95894056156403 40.800997724997345),1,1579,110,9,69,30,13,MN01048,W 110 ST,FREDERICK DOUGLASS BLVD,-73.95894200000001,40.801006,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.94557956396845 40.83457371780551),1,1580,112,7,71,31,13,MN01049,EDWARD MORGAN PL,W 157 ST,-73.945581,40.834582,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.97003155811664 40.79402272682694),1,1581,107,7,69,30,10,MN01050,W 96 ST,AMSTERDAM AV,-73.970033,40.794031,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96733655927187 40.79330472644681),1,1582,107,7,69,30,10,MN01052,COLUMBUS AV,W 97 ST,-73.967338,40.793313,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95048656195998 40.82670671907177),1,1583,109,7,71,30,13,MN01053,BROADWAY,W 145 ST,-73.950488,40.826715,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.96638355857945 40.799301724989256),1,1584,107,7,69,30,13,MN01058,AMSTERDAM AV,W 104 ST,-73.966385,40.79931,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.99598355268336 40.75334473536456),1,1585,104,3,75,27,10,MN01060,W 34 ST,9 AV,-73.995985,40.753353000000004,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.95806956070973 40.81109672251811),1,1586,109,7,69,30,13,MN01062,AMSTERDAM AV,W 123 ST,-73.95807099999999,40.811105,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.93604856791374 40.821178719848355),1,1587,110,9,71,30,13,MN01063,W 146 ST,MALCOLM X BLVD,-73.93605,40.821187,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3.0
Manhattan,POINT (-73.98632955343524 40.77751673039397),1,1588,107,6,67,27,10,MN01064,WEST END AV,W 69 ST,-73.986331,40.777525,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.97216355756179 40.79469772604115),1,1589,107,6,69,31,10,MN01065,W 96 ST,WEST END AV,-73.972165,40.794706,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-74.01643654811157 40.70963474433955),1,1590,101,1,65,26,10,MN01066,SOUTH END AV,ALBANY ST,-74.016438,40.709643,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0
Manhattan,POINT (-74.01710654765544 40.7084437451776),1,1591,101,1,65,26,10,MN01068,W THAMES ST,SOUTH END AV,-74.017108,40.708452,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1.0
Manhattan,POINT (-73.95867456270031 40.76880473083682),1,1592,108,4,76,28,12,MN0107,E 72 ST,2 AV,-73.958676,40.768813,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.9957655522601 40.759872734022835),1,1593,104,3,75,27,10,MN01070,W 42 ST,10 AV,-73.995767,40.759881,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-74.00638155209074 40.706007745263555),1,1594,101,1,65,26,10,MN01074,WATER ST,MAIDEN LANE,-74.006383,40.706016,AE,,1.0
Manhattan,POINT (-74.00934955124671 40.70397674581623),1,1595,101,1,65,26,10,MN01075,WATER ST,HANOVER SQ,-74.009351,40.703984999999996,AE,,1.0
Manhattan,POINT (-73.98465355789708 40.71301774279361),1,1596,103,1,65,26,7,MN01076,MADISON ST,MONTGOMERY ST,-73.984655,40.713026,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.98648155742748 40.71284974308366),1,1597,103,1,65,26,7,MN01077,MADISON ST,CLINTON ST,-73.98648299999999,40.712858000000004,X,AREA OF MINIMAL FLOOD HAZARD,3.0
Manhattan,POINT (-73.97946555889446 40.72307874022356),1,1598,103,2,74,26,12,MN01079,AV C,E 5 ST,-73.979467,40.723087,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2.0
Manhattan,POINT (-73.95866556266536 40.76899473116157),1,1599,108,4,76,28,12,MN0108,E 72 ST,2 AV,-73.958667,40.769003000000005,X,AREA OF MINIMAL FLOOD HAZARD,
Manhattan,POINT (-73.97832855953973 40.720368741037156),1,1600,103,2,74,26,7,MN01080,AV D,E HOUSTON ST,-73.97833,40.720377,X,AREA OF MINIMAL FLOOD HAZARD,2.0
Manhattan,POINT (-73.99485955128046 40.76589373263043),1,1601,104,3,67,31,10,MN01083,W 50 ST,11 AV,-73.994861,40.765902000000004,X,AREA OF MINIMAL FLOOD HAZARD,3.0
Manhattan,POINT (-73.99609755250191 40.74438473676896),1,1602,104,3,75,27,12,MN01084,W 23 ST,7 AV,-73.996099,40.744393,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.95046756437942 40.79210672642139),1,1603,111,8,68,30,13,MN01085,MADISON AV,E 104 ST,-73.950469,40.792115,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.9495275645904 40.79337972606309),1,1604,111,8,68,30,13,MN01086,MADISON AV,E 106 ST,-73.949529,40.793388,X,AREA OF MINIMAL FLOOD HAZARD,4.0
Manhattan,POINT (-73.94517256602258 40.80023072478599),1,1605,111,9,68,30,13,MN01088,E 116 ST,MADISON AV,-73.945174,40.800239000000005,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.94616256484791 40.8006497245633),1,1606,111,9,68,30,13,MN01089,E 116 ST,5 AV,-73.946164,40.800658,X,AREA OF MINIMAL FLOOD HAZARD,6.0
Manhattan,POINT (-73.94584556554929 40.798430724835555),1,1607,111,8,68,30,13,MN01090,MADISON AV,E 114 ST,-73.945847,40.798439,X,AREA OF MINIMAL FLOOD HAZARD,5.0
Manhattan,POINT (-73.93944656732083 40.80722472250872),1,1608,111,9,68,30,13,MN01091,MADISON AV,E 127 ST,-73.939448,40.807233000000004,X,AREA OF MINIMAL FLOOD HAZARD,5.0
