route_name_list,lon,lat,datetime,type_list,status_list,matched_entity_id_list,current_edge_list,direction_angle_list,matched_rider_cnt,OrgPickup_cnt,reposition_recommend_cnt,reposition_recommend_and_accept_cnt,reposition_recommend_but_reject_cnt,matching_rate,unmatched_rider_cnt,total_revenue,total_revenue_added_by_reposition
7_62_driver_83,-73.9600437,40.7980478,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96012557,40.7979359,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96020743,40.797824,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9602893,40.7977121,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96037117,40.7976002,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96045303,40.7974883,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9605349,40.7973764,2016/3/7 15:40,driver,cruise,,"[42421728, 42435337]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96077408,40.79747638,2016/3/7 15:40,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96101327,40.79757637,2016/3/7 15:40,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96125245,40.79767635,2016/3/7 15:40,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96149163,40.79777633,2016/3/7 15:40,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96173082,40.79787632,2016/3/7 15:40,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96197,40.7979763,2016/3/7 15:41,driver,cruise,,"[42435337, 42437916]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96220342,40.79807493,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96243683,40.79817357,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96267025,40.7982722,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96290367,40.79837083,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96313708,40.79846947,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9633705,40.7985681,2016/3/7 15:41,driver,cruise,,"[42437916, 42437917]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96344928,40.7984602,2016/3/7 15:41,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96352807,40.7983523,2016/3/7 15:41,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96360685,40.7982444,2016/3/7 15:41,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96368563,40.7981365,2016/3/7 15:41,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96376442,40.7980286,2016/3/7 15:41,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9638432,40.7979207,2016/3/7 15:42,driver,cruise,,"[42437917, 42443406]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96414025,40.79751492,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9644373,40.79710913,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96473435,40.79670335,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9650314,40.79629757,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96532845,40.79589178,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9656255,40.795486,2016/3/7 15:42,driver,cruise,,"[42443406, 42443403]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96585927,40.79516335,2016/3/7 15:42,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96609303,40.7948407,2016/3/7 15:42,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9663268,40.79451805,2016/3/7 15:42,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96656057,40.7941954,2016/3/7 15:42,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96679433,40.79387275,2016/3/7 15:42,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9670281,40.7935501,2016/3/7 15:43,driver,cruise,,"[42443403, 42443388]",209,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96711475,40.7934371,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9672014,40.7933241,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96728805,40.7932111,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9673747,40.7930981,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96746135,40.7929851,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.967548,40.7928721,2016/3/7 15:43,driver,cruise,,"[42443388, 42443381]",210,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96801447,40.79306885,2016/3/7 15:43,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96848093,40.7932656,2016/3/7 15:43,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9689474,40.79346235,2016/3/7 15:43,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96941387,40.7936591,2016/3/7 15:43,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.96988033,40.79385585,2016/3/7 15:43,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9703468,40.7940526,2016/3/7 15:44,driver,cruise,,"[42443381, 42442534]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97056643,40.79414622,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97078607,40.79423983,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9710057,40.79433345,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97122533,40.79442707,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97144497,40.79452068,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9716646,40.7946143,2016/3/7 15:44,driver,cruise,,"[42442534, 1061531807]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97170342,40.79463107,2016/3/7 15:44,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97174223,40.79464783,2016/3/7 15:44,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97178105,40.7946646,2016/3/7 15:44,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97181987,40.79468137,2016/3/7 15:44,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97185868,40.79469813,2016/3/7 15:44,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9718975,40.7947149,2016/3/7 15:45,driver,cruise,,"[1061531807, 42428714]",300,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97211543,40.7948045,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97233337,40.7948941,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9725513,40.7949837,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97276923,40.7950733,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97298717,40.7951629,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9732051,40.7952525,2016/3/7 15:45,driver,cruise,,"[42428714, 42431099]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97354362,40.79539463,2016/3/7 15:45,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97388213,40.79553677,2016/3/7 15:45,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97422065,40.7956789,2016/3/7 15:45,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97455917,40.79582103,2016/3/7 15:45,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97489768,40.79596317,2016/3/7 15:45,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9752362,40.7961053,2016/3/7 15:46,driver,cruise,,"[42431099, 587812578]",299,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97529763,40.79629985,2016/3/7 15:46,driver,cruise,,"[587812578, 587812665]",347,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97535907,40.7964944,2016/3/7 15:46,driver,cruise,,"[587812578, 587812665]",347,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.9754205,40.79668895,2016/3/7 15:46,driver,cruise,,"[587812578, 587812665]",347,1,1,1,1,1,1,1,1,1
7_62_driver_83,-73.97548193,40.7968835,2016/3/7 15:46,driver,cruise,,"[587812578, 587812665]",347,1,1,1,1,1,1,1,1,1
